,game_id,role,prolific_id
0,7930-bed65240-b8a7-4125-8b58-f411f2638aae,explorer,undefined
1,7930-bed65240-b8a7-4125-8b58-f411f2638aae,student,undefined
2,3333-1efe6616-ef5a-4dc8-bf0f-059e1c5d6c85,explorer,undefined
3,8029-23ce2010-d3fb-4ace-988e-39214734a122,explorer,undefined
4,8029-23ce2010-d3fb-4ace-988e-39214734a122,student,undefined
5,9111-3146f1fc-79b6-4029-8d10-afdd88e67845,explorer,undefined
6,7850-b851d977-d228-42b3-81bc-224c6519ff36,explorer,fjdkajfkld
7,2748-d7b45954-988c-4082-b6c4-2d92067ec2c3,explorer,blah
8,2748-d7b45954-988c-4082-b6c4-2d92067ec2c3,student,undefined
9,1238-0ae11de8-a557-4d5a-83c0-504fd7db0166,explorer,undefined
10,1238-0ae11de8-a557-4d5a-83c0-504fd7db0166,student,undefined
